cell_id,lat_center,lon_center,mean,date
c0078,41.223546,14.621367,7.3300000000000125,2019-01-01
c0078,41.223546,14.621367,7.900000000000034,2019-01-02
c0078,41.223546,14.621367,,2019-01-03
c0078,41.223546,14.621367,,2019-01-04
c0078,41.223546,14.621367,0.660000000000025,2019-01-05
c0078,41.223546,14.621367,3.750000000000029,2019-01-06
c0078,41.223546,14.621367,8.730000000000047,2019-01-07
c0078,41.223546,14.621367,,2019-01-08
c0078,41.223546,14.621367,,2019-01-09
c0078,41.223546,14.621367,0.2400000000000375,2019-01-10
c0078,41.223546,14.621367,4.330000000000041,2019-01-11
c0078,41.223546,14.621367,3.5700000000000505,2019-01-12
c0078,41.223546,14.621367,,2019-01-13
c0078,41.223546,14.621367,,2019-01-14
c0078,41.223546,14.621367,8.07000000000005,2019-01-15
c0078,41.223546,14.621367,8.170000000000014,2019-01-16
c0078,41.223546,14.621367,,2019-01-17
c0078,41.223546,14.621367,,2019-01-18
c0078,41.223546,14.621367,9.580000000000013,2019-01-19
c0078,41.223546,14.621367,,2019-01-20
c0078,41.223546,14.621367,,2019-01-21
c0078,41.223546,14.621367,,2019-01-22
c0078,41.223546,14.621367,,2019-01-23
c0078,41.223546,14.621367,,2019-01-24
c0078,41.223546,14.621367,,2019-01-25
c0078,41.223546,14.621367,1.8700000000000043,2019-01-26
c0078,41.223546,14.621367,4.330000000000041,2019-01-27
c0078,41.223546,14.621367,,2019-01-28
c0078,41.223546,14.621367,,2019-01-29
c0078,41.223546,14.621367,,2019-01-30
c0078,41.223546,14.621367,9.430000000000009,2019-01-31
c0078,41.223546,14.621367,,2019-02-01
c0078,41.223546,14.621367,,2019-02-02
c0078,41.223546,14.621367,,2019-02-03
c0078,41.223546,14.621367,,2019-02-04
c0078,41.223546,14.621367,,2019-02-05
c0078,41.223546,14.621367,11.83000000000004,2019-02-06
c0078,41.223546,14.621367,14.320000000000022,2019-02-07
c0078,41.223546,14.621367,,2019-02-08
c0078,41.223546,14.621367,,2019-02-09
c0078,41.223546,14.621367,,2019-02-10
c0078,41.223546,14.621367,,2019-02-11
c0078,41.223546,14.621367,10.310000000000002,2019-02-12
c0078,41.223546,14.621367,6.570000000000021,2019-02-13
c0078,41.223546,14.621367,,2019-02-14
c0078,41.223546,14.621367,15.78000000000003,2019-02-15
c0078,41.223546,14.621367,13.33000000000004,2019-02-16
c0078,41.223546,14.621367,14.640000000000017,2019-02-17
c0078,41.223546,14.621367,,2019-02-18
c0078,41.223546,14.621367,,2019-02-19
c0078,41.223546,14.621367,14.10000000000002,2019-02-20
c0078,41.223546,14.621367,14.720000000000027,2019-02-21
c0078,41.223546,14.621367,,2019-02-22
c0078,41.223546,14.621367,,2019-02-23
c0078,41.223546,14.621367,,2019-02-24
c0078,41.223546,14.621367,6.150000000000034,2019-02-25
c0078,41.223546,14.621367,,2019-02-26
c0078,41.223546,14.621367,,2019-02-27
c0078,41.223546,14.621367,17.180000000000035,2019-02-28
c0078,41.223546,14.621367,,2019-03-01
c0078,41.223546,14.621367,12.480000000000018,2019-03-02
c0078,41.223546,14.621367,19.32000000000002,2019-03-03
c0078,41.223546,14.621367,,2019-03-04
c0078,41.223546,14.621367,19.03000000000003,2019-03-05
c0078,41.223546,14.621367,,2019-03-06
c0078,41.223546,14.621367,20.97000000000003,2019-03-07
c0078,41.223546,14.621367,,2019-03-08
c0078,41.223546,14.621367,21.580000000000013,2019-03-09
c0078,41.223546,14.621367,,2019-03-10
c0078,41.223546,14.621367,,2019-03-11
c0078,41.223546,14.621367,,2019-03-12
c0078,41.223546,14.621367,,2019-03-13
c0078,41.223546,14.621367,,2019-03-14
c0078,41.223546,14.621367,16.920000000000016,2019-03-15
c0078,41.223546,14.621367,,2019-03-16
c0078,41.223546,14.621367,19.730000000000015,2019-03-17
c0078,41.223546,14.621367,,2019-03-18
c0078,41.223546,14.621367,19.420000000000044,2019-03-19
c0078,41.223546,14.621367,,2019-03-20
c0078,41.223546,14.621367,20.970000000000027,2019-03-21
c0078,41.223546,14.621367,19.930000000000007,2019-03-22
c0078,41.223546,14.621367,24.54000000000002,2019-03-23
c0078,41.223546,14.621367,25.450000000000045,2019-03-24
c0078,41.223546,14.621367,23.50000000000003,2019-03-25
c0078,41.223546,14.621367,,2019-03-26
c0078,41.223546,14.621367,,2019-03-27
c0078,41.223546,14.621367,,2019-03-28
c0078,41.223546,14.621367,21.460000000000036,2019-03-29
c0078,41.223546,14.621367,26.050000000000015,2019-03-30
c0078,41.223546,14.621367,24.46000000000004,2019-03-31
c0078,41.223546,14.621367,28.480000000000047,2019-04-01
c0078,41.223546,14.621367,,2019-04-02
c0078,41.223546,14.621367,,2019-04-03
c0078,41.223546,14.621367,,2019-04-04
c0078,41.223546,14.621367,20.590000000000032,2019-04-05
c0078,41.223546,14.621367,24.760000000000048,2019-04-06
c0078,41.223546,14.621367,,2019-04-07
c0078,41.223546,14.621367,,2019-04-08
