cell_id,lat_center,lon_center,mean,date
c0167,41.250573,14.651315,142.49326053421848,2019-01-01
c0167,41.250573,14.651315,143.4536870982475,2019-01-02
c0167,41.250573,14.651315,161.98906411730175,2019-01-03
c0167,41.250573,14.651315,157.8227820790625,2019-01-04
c0167,41.250573,14.651315,141.5393819458096,2019-01-05
c0167,41.250573,14.651315,133.6746555868718,2019-01-06
c0167,41.250573,14.651315,143.19057109530652,2019-01-07
c0167,41.250573,14.651315,141.26945728968764,2019-01-08
c0167,41.250573,14.651315,150.87998350396023,2019-01-09
c0167,41.250573,14.651315,202.88950827609003,2019-01-10
c0167,41.250573,14.651315,,2019-01-11
c0167,41.250573,14.651315,157.58869051933289,2019-01-12
c0167,41.250573,14.651315,155.9273819274023,2019-01-13
c0167,41.250573,14.651315,156.24449484898088,2019-01-14
c0167,41.250573,14.651315,141.57037989641285,2019-01-15
c0167,41.250573,14.651315,131.8933656511626,2019-01-16
c0167,41.250573,14.651315,131.3889347262536,2019-01-17
c0167,41.250573,14.651315,134.33161747218352,2019-01-18
c0167,41.250573,14.651315,145.85023227557195,2019-01-19
c0167,41.250573,14.651315,154.57552976051426,2019-01-20
c0167,41.250573,14.651315,146.01233144200268,2019-01-21
c0167,41.250573,14.651315,142.4329253251544,2019-01-22
c0167,41.250573,14.651315,164.17409297751647,2019-01-23
c0167,41.250573,14.651315,190.93696409157263,2019-01-24
c0167,41.250573,14.651315,186.47342517338643,2019-01-25
c0167,41.250573,14.651315,162.82172032632457,2019-01-26
c0167,41.250573,14.651315,129.30017089098664,2019-01-27
c0167,41.250573,14.651315,143.70539306198364,2019-01-28
c0167,41.250573,14.651315,158.04281385491933,2019-01-29
c0167,41.250573,14.651315,148.65717871322587,2019-01-30
c0167,41.250573,14.651315,157.54432149932884,2019-01-31
c0167,41.250573,14.651315,138.27777999691426,2019-02-01
c0167,41.250573,14.651315,137.80649240230318,2019-02-02
c0167,41.250573,14.651315,158.0825773959942,2019-02-03
c0167,41.250573,14.651315,148.11016564912453,2019-02-04
c0167,41.250573,14.651315,143.1820011971261,2019-02-05
c0167,41.250573,14.651315,155.02737680856114,2019-02-06
c0167,41.250573,14.651315,130.40562649665642,2019-02-07
c0167,41.250573,14.651315,173.62768767338147,2019-02-08
c0167,41.250573,14.651315,148.94923158170272,2019-02-09
c0167,41.250573,14.651315,127.04684606931022,2019-02-10
c0167,41.250573,14.651315,150.47427208612677,2019-02-11
c0167,41.250573,14.651315,200.37357729422507,2019-02-12
c0167,41.250573,14.651315,142.63446809736772,2019-02-13
c0167,41.250573,14.651315,138.86966024983806,2019-02-14
c0167,41.250573,14.651315,154.4473917807562,2019-02-15
c0167,41.250573,14.651315,172.43568106712044,2019-02-16
c0167,41.250573,14.651315,141.7528785996288,2019-02-17
c0167,41.250573,14.651315,129.0766998586695,2019-02-18
c0167,41.250573,14.651315,152.8510315060653,2019-02-19
c0167,41.250573,14.651315,144.71356494648106,2019-02-20
c0167,41.250573,14.651315,162.23944206791495,2019-02-21
c0167,41.250573,14.651315,177.4949867350244,2019-02-22
c0167,41.250573,14.651315,201.56129556080364,2019-02-23
c0167,41.250573,14.651315,162.310033123997,2019-02-24
c0167,41.250573,14.651315,155.726486008277,2019-02-25
c0167,41.250573,14.651315,150.39597957150056,2019-02-26
c0167,41.250573,14.651315,155.28823713754764,2019-02-27
c0167,41.250573,14.651315,138.91225297861135,2019-02-28
c0167,41.250573,14.651315,143.51935325521495,2019-03-01
c0167,41.250573,14.651315,148.3689546585083,2019-03-02
c0167,41.250573,14.651315,156.75136415391407,2019-03-03
c0167,41.250573,14.651315,135.8061308512279,2019-03-04
c0167,41.250573,14.651315,139.80724689475093,2019-03-05
c0167,41.250573,14.651315,138.38254781025964,2019-03-06
c0167,41.250573,14.651315,137.78534632713584,2019-03-07
c0167,41.250573,14.651315,150.07319209055345,2019-03-08
c0167,41.250573,14.651315,154.03463178339936,2019-03-09
c0167,41.250573,14.651315,128.94614577991348,2019-03-10
c0167,41.250573,14.651315,147.8363133319328,2019-03-11
c0167,41.250573,14.651315,164.6698389082308,2019-03-12
c0167,41.250573,14.651315,124.1798104170872,2019-03-13
c0167,41.250573,14.651315,192.97233194140924,2019-03-14
c0167,41.250573,14.651315,158.8442160104579,2019-03-15
c0167,41.250573,14.651315,147.50620039736867,2019-03-16
c0167,41.250573,14.651315,142.6821735864667,2019-03-17
c0167,41.250573,14.651315,150.38518220715136,2019-03-18
c0167,41.250573,14.651315,144.2676449276948,2019-03-19
c0167,41.250573,14.651315,160.57457707847774,2019-03-20
